Название,Тип заведения,Средний чек,Адресс
Gold,комплекс,Средний чек 3000 тнг,"микрорайон Жетысу-2, 11"
Таверна на углях,кафе,Средний чек 3500 тнг,"Розыбакиева, 109"
SATORI,ресторан,Средний чек 5000 тнг,"Маметовой, 25"
Додо Пицца,сеть пиццерий,Средний чек 2000 тнг,"Кунаева, 41"
Ladurée,ресторан,Средний чек 10000 тнг,"ЖК Еsentai Apartments, проспект Аль-Фараби, 77/3"
SALAM BRO,сеть кафе и киосков быстрого питания,Средний чек 1500 тнг,"микрорайон Самал-3, 3а киоск"
Мята Lounge на Мендикулова,лаундж-бар,Средний чек 4000 тнг,"ЖК Royal, Кажымукана, 49"
Molte Denaro,ресторанный комплекс,Средний чек 4000 тнг,"проспект Гагарина, 60"
Zheka`s Doner,сеть кафе быстрого питания,,"проспект Абая, 34"
ASSORTI,сеть ресторанов,Средний чек 7000 тнг,"проспект Достык, 106г"
McDonald`s,сеть ресторанов быстрого обслуживания,Средний чек 1500 тнг,"Толе би, 41"
CHEESY,кондитерская-кофейня,,"проспект Абылай хана, 122"
Vilka,Семейное кафе,Средний чек 3000 тнг,"Казыбек би, 105"
Best Brew,кофейня,Средний чек 1000 тнг,"ЖК Отау, Жамбыла, 155 к2"
Luffy coffee & Art,кофейня-магазин,Средний чек 1000 тнг,"Желтоксан, 132"
JamBull,ресто-бар,Средний чек 4000 тнг,"ЖК Отау, Жамбыла, 155 к1"
Dali Cafe and Bar,Кафе-кондитерские / Кофейни,Средний чек 2000 тнг,"проспект Абылай хана, 123"
НАВИГАТОР,комплекс,Средний чек 1500 тнг,"Байзакова, 78а"
Альхайыр,кафе,Средний чек 2000 тнг,"микрорайон Сайран, 6"
The Old Street Pub,бар,Средний чек 8000 тнг,"микрорайон Астана, 34"
MOOZ,сеть кофеен,Средний чек 1500 тнг,"проспект Жибек Жолы, 81а"
Coffee Original,сеть кофеен,Средний чек 800 тнг,"Ауэзова, 165"
Zumrudu Anka,Столовая,Средний чек 2000 тнг,"Толе би, 159"
TEADOT,чайный дом,,"проспект Абая, 35/37"
Bibamus Coffee,сеть кофеен,,"проспект Аль-Фараби, 19 к1Б"
BARISTACOFFEE,сеть кофеен,,"Жарокова, 91"
Papa John`s,сеть пиццерий,Доставка,"Гоголя, 75"
Мята Вышка,лаундж-бар,Средний чек 3500 тнг,"БЦ Bereket, Ауэзова, 14а"
Мята на Алтынсарина,лаундж-бар,Средний чек 4000 тнг,"12-й микрорайон, 24"
As hall,столовая,,"проспект Абылай хана, 13"
Старая Италия,кофейня,Средний чек 1500 тнг,"Панфилова, 20"
Чайхона Шахар,комплекс,Средний чек 3000 тнг,"Жандосова, 299/1"
Форсаж,комплекс,Средний чек 1500 тнг,"Байтурсынова, 130"
Lanzhou,сеть ресторанов быстрого питания,Средний чек 3000 тнг,"проспект Жибек Жолы, 65а"
ПИОНЕР,ресторан,Средний чек 10000 тнг,"ЖК Пионер, проспект Достык, 132"
Coffee Split,кофейня,Средний чек 2000 тнг,"Тимирязева, 97"
Masisso,кафе,Доставка,"проспект Жибек Жолы, 102а"
АЛМАТЫ ДОНЕР,кафе быстрого питания,Средний чек 1000 тнг,"1-й микрорайон, 9"
Сыто Пьяно,Ресторан,,"ЖК ART Residence, Бекхожина, 15а"
UNO kitchen & bar,Кафе,Средний чек 2000 тнг,"ТРЦ MART, Рихарда Зорге, 18/4"
Bahandi burger,сеть кафе быстрого питания,,"проспект Абылай хана, 68"
Qulpynai Bakery,сеть пекарен-кондитерских,Средний чек 800 тнг,"проспект Сейфуллина, 452"
Black Star Burger,Быстрое питание,Средний чек 2000 тнг,"ТРЦ DOSTYK PLAZA, микрорайон Самал-2, 111"
Main Coffee,кофейня,,"Зеина Шашкина, 29а"
Life grill cafe,кафе,,"Жазылбека, 20/2"
Traveler`s Coffee,сеть кофеен,Средний чек 2700 тнг,"Курмангазы, 43"
ТАНУКИ,японский ресторан,Доставка,"БЦ Astana, проспект Достык, 232"
Kinza,кафе-бар,Средний чек 3500 тнг,"Шевченко, 138"
FORNARINA,ресторан,Средний чек 5000 тнг,"проспект Абылай хана, 59"
SUPREMO COFFEE,сеть кофеен,Средний чек 700 тнг,"проспект Аль-Фараби, 15 к4в"
Pomidorka,кафе,Средний чек 2400 тнг,"Макатаева, 158"
Шашлычок на Пастера-Смайл,кафе,Средний чек 2600 тнг,"Макатаева, 29"
Brown Buffet,сеть кофеен,,"ЖК Тенгиз Тауэрс, Сатпаева, 30/1"
SSultan,столовая,Средний чек 1000 тнг,"проспект Жибек Жолы, 77а"
